commit_id,author_date,bugcount,fixcount,la,ld,nf,nd,ns,ent,revd,nrev,rtime,tcmt,hcmt,self,ndev,age,nuc,app,aexp,rexp,oexp,arexp,rrexp,orexp,asexp,rsexp,osexp,asawr,rsawr,osawr
000011bb2981a606ab1fa546b716c149758c7ea1,1297922998,,,0,6,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
000174461a96ca70c76c8f3a85d9bf25fe673a2d,1318600977,,,15,1,2,2,1,0.988699408,TRUE,5,356714,16,3,FALSE,4,235801,5,1,3,85,86,3,84,85,2,39,39,0.035294118,0.470588235,0.470588235
0002d9ea9690cc82f7fac05881c30bfd9581702b,1294934322,,,89,32,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
0002eb7affbc0983ee9fc317aa79c1b62dd3d5c3,1308159044,,,1,0,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
0004f6bc6c772458f45027a76b1aa4fb31247264,1311875567,,,1,1,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
00057454f6609871c2cabf874876d26a6d0d0641,1358516662,,,2,2,2,2,1,1,TRUE,1,6495227,7,4,FALSE,6,170682,7,2,12,354,366,10,354,364,0,259,259,0.003472222,0.902777778,0.902777778
00065bd9f62f3a7d033d88243cffe6148b7ee540,1407514595,,,17,3,2,2,1,0.992774454,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
00071a6e0bd9bf70d7e7afd1656fea39d5149e68,1308014468,,,54,17,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
0007d255d9b20da4e5bbcdbaf5813104fbc092da,1358353428,,,9,6,1,1,1,0,TRUE,1,1616714,15,10,FALSE,4,7448,5,6,310,1343,1547,304,1251,1451,6,276,277,0.024734982,0.978798587,0.982332155
001407b969bc12d48bd7f10960f84f519bb19111,1278972225,1,,22435,0,104,22,5,0.816511367,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
0014f2c828dae5f9481a2bac68fe90a7857b2f59,1377995125,,,7,8,2,1,1,0.996791632,TRUE,1,175209,7,3,FALSE,17,277757,26,3,122,425,449,122,398,422,89,257,275,0.2,0.573333333,0.613333333
0015019ccd5ee41d8048af52ff7dc3533edd88fd,1395595461,,,24,6,2,2,2,0.996791632,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
00171c3f50d333a1771efc048b064e1fd73614b0,1311714626,,,0,0,2,2,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
001961ed495a33cc944407888a2797f8a600e091,1367268702,,,6,0,1,1,1,0,TRUE,6,250793,28,15,FALSE,31,4262413,69,6,1062,2259,2903,1026,1932,2559,958,1922,2506,0.217115689,0.435363369,0.567579805
001d36c97eac77410f7dd32290d2142abfb19fa0,1392721937,0,,12,6,2,2,1,0.309543429,TRUE,1,130927,14,5,FALSE,156,114295,478,4,1298,1541,2599,834,1211,1873,1087,1361,2241,0.14754543,0.184703011,0.304041226
001f865c3cd5f55ddc52c8b68ef49d6b00fe0395,1393998996,,,60,5,5,5,1,0.660649641,TRUE,9,6738919,106,34,FALSE,12,1274108.8,20,1,6,749,754,6,749,754,6,744,749,0.000931594,0.099148257,0.099813681
0020f14f43aa6f024d9aab7dc67c79caaaeb8257,1297797359,,,12,4,3,2,1,0.985056822,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
002844d08ddca743ce7f83aaf5d5279a2d35e29e,1401521873,,,2,2,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
002b389aa90059c1c1986d4c1a3fbcd38527b4b4,1309399887,,,0,0,1,1,1,0,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
002ce47d757461546c24a4e8ba909fca42c38997,1405937783,2,,304,16,12,2,1,0.803638858,FALSE,,,,,TRUE,,,,,,,,,,,,,,,,
002d711fb7f16a6d5c7977e82e30837287b553b8,1322491078,0,,272,276,43,12,1,0.931290377,TRUE,1,635225,5,3,FALSE,16,884412.4419,66,3,83,184,231,83,184,231,16,88,88,0.173469388,0.908163265,0.908163265
